urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2016051048054,Pauli lidelser,89,90,x,,,dhlab_norn_poem_00180,
URN:NBN:no-nb_digibok_2016051048054,Ikke endnu!,90,91,x,,,dhlab_norn_poem_00181,
URN:NBN:no-nb_digibok_2016051048054,Uenige og dog enige,91,91,x,,,dhlab_norn_poem_00182,
URN:NBN:no-nb_digibok_2016051048054,En million for et øieblik,92,92,x,,,dhlab_norn_poem_00183,
URN:NBN:no-nb_digibok_2016051048054,Blinde,92,93,x,,,dhlab_norn_poem_00184,
URN:NBN:no-nb_digibok_2016051048054,For sent!,93,95,x,,,dhlab_norn_poem_00185,
URN:NBN:no-nb_digibok_2016051048054,En udaad,95,96,x,,,dhlab_norn_poem_00186,
URN:NBN:no-nb_digibok_2016051048054,Et minde,96,97,x,,,dhlab_norn_poem_00187,
URN:NBN:no-nb_digibok_2016051048054,Afskeden,98,98,x,,,dhlab_norn_poem_00188,
URN:NBN:no-nb_digibok_2016051048054,De sultne smaa,98,99,x,,,dhlab_norn_poem_00189,
URN:NBN:no-nb_digibok_2016051048054,Hvad venter dig bag døden?,99,100,x,,,dhlab_norn_poem_00190,
URN:NBN:no-nb_digibok_2016051048054,Den døende moder,101,102,x,,,dhlab_norn_poem_00191,
URN:NBN:no-nb_digibok_2016051048054,Moderen til sine børn,102,103,x,,,dhlab_norn_poem_00192,
URN:NBN:no-nb_digibok_2016051048054,Isaks ofring,103,105,x,,,dhlab_norn_poem_00193,
URN:NBN:no-nb_digibok_2016051048054,En fortvivlet,105,105,x,,,dhlab_norn_poem_00194,
URN:NBN:no-nb_digibok_2016051048054,Nils Jul,106,109,x,,,dhlab_norn_poem_00195,
URN:NBN:no-nb_digibok_2016051048054,Det farlige strømdrag,109,112,x,,,dhlab_norn_poem_00196,
URN:NBN:no-nb_digibok_2016051048054,Tre stjerner,112,113,x,,,dhlab_norn_poem_00197,
URN:NBN:no-nb_digibok_2016051048054,Hvem skal løfte mig op?,114,115,x,,,dhlab_norn_poem_00198,
URN:NBN:no-nb_digibok_2016051048054,Guds børns modsætning,115,116,x,,,dhlab_norn_poem_00199,
URN:NBN:no-nb_digibok_2016051048054,Drankerens hjem,116,117,x,,,dhlab_norn_poem_00200,
URN:NBN:no-nb_digibok_2016051048054,Skrift for skridt,118,118,x,,,dhlab_norn_poem_00201,
URN:NBN:no-nb_digibok_2016051048054,Beretninger fra slagsmarken,118,120,x,,,dhlab_norn_poem_00202,
URN:NBN:no-nb_digibok_2016051048054,Bjørnen og barnet,121,122,x,,,dhlab_norn_poem_00203,
